Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-12-18 00:00:00-05:00,243.57000732421875,243.7100067138672,238.82000732421875,239.25999450683594,8015800,0.0,0.0,0.0
2024-12-19 00:00:00-05:00,239.6699981689453,240.0500030517578,238.72999572753906,239.60000610351562,8111400,0.0,0.0,0.0
2024-12-20 00:00:00-05:00,241.41000366210938,242.9600067138672,241.1699981689453,242.10000610351562,9527800,0.0,0.0,0.0
2024-12-23 00:00:00-05:00,241.60000610351562,241.6699981689453,240.64999389648438,240.9600067138672,5835500,0.0,0.0,0.0
2024-12-24 00:00:00-05:00,241.49000549316406,241.66000366210938,240.82000732421875,241.44000244140625,2421000,0.0,0.0,0.0
2024-12-26 00:00:00-05:00,242.38999938964844,243.55999755859375,242.1999969482422,243.07000732421875,4645100,0.0,0.0,0.0
2024-12-27 00:00:00-05:00,241.1999969482422,241.9499969482422,241.0500030517578,241.39999389648438,4728100,0.0,0.0,0.0
2024-12-30 00:00:00-05:00,241.0800018310547,241.0800018310547,239.5800018310547,240.6300048828125,3522500,0.0,0.0,0.0
2024-12-31 00:00:00-05:00,241.0500030517578,242.52000427246094,241.0500030517578,242.1300048828125,2522100,0.0,0.0,0.0
2025-01-02 00:00:00-05:00,244.22000122070312,245.52999877929688,244.0800018310547,245.4199981689453,6241900,0.0,0.0,0.0
2025-01-03 00:00:00-05:00,244.55999755859375,244.82000732421875,243.36000061035156,243.49000549316406,4872100,0.0,0.0,0.0
2025-01-06 00:00:00-05:00,242.3300018310547,243.7899932861328,242.0500030517578,243.19000244140625,3758900,0.0,0.0,0.0
2025-01-07 00:00:00-05:00,245.52000427246094,245.77000427246094,243.80999755859375,244.55999755859375,5090300,0.0,0.0,0.0
2025-01-08 00:00:00-05:00,245.72000122070312,246.4499969482422,244.50999450683594,245.86000061035156,6303300,0.0,0.0,0.0
2025-01-10 00:00:00-05:00,248.00999450683594,249.0399932861328,247.5500030517578,248.2100067138672,12380100,0.0,0.0,0.0
2025-01-13 00:00:00-05:00,246.33999633789062,246.7899932861328,245.14999389648438,245.74000549316406,8448600,0.0,0.0,0.0
2025-01-14 00:00:00-05:00,245.6199951171875,247.0399932861328,245.52000427246094,247.02999877929688,4914800,0.0,0.0,0.0
